🇨🇳央视(流畅),#genre#
CCTV1综合,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8
CCTV6电影,http://123.6.9.146/live/jz-cctv-6/live.m3u8
CCTV8电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9记录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8?
CCTV10科教,http://123.6.9.146/live/jz-cctv-10/live.m3u8
CCTV12社会与法,http://123.6.9.146/live/jz-cctv-12/live.m3u8
CCTV13新闻,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8
CCTV发现之旅,http://111.20.35.103:6610/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com


🇨🇳央视,#genre#
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14,http://218.29.55.44:808/hls/14/index.m3u8
CCTV15,http://218.29.55.44:808/hls/24/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV17,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204202.m3u8
CCTV4K,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000266303.m3u8

CCTV发现之旅,http://121.51.249.19/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226018/index.m3u8
CCTV电视指南,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV风云足球,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV怀旧剧场,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV风云剧场,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV央视台球,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV央视文化,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV兵器科技,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV第一剧场,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV风云音乐,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV世界地理,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV卫生健康,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513503.m3u8
CCTV女性时尚,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV高尔夫网球,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012512503.m3u8


📡卫视,#genre#
内蒙古卫视,http://218.29.55.44:808/hls/50/index.m3u8
黑龙江卫视,http://218.29.55.44:808/hls/31/index.m3u8
湖南卫视,http://218.29.55.44:808/hls/27/index.m3u8
河南卫视,http://218.29.55.44:808/hls/16/index.m3u8
浙江卫视,http://218.29.55.44:808/hls/26/index.m3u8
江苏卫视,http://218.29.55.44:808/hls/28/index.m3u8
北京卫视,http://218.29.55.44:808/hls/29/index.m3u8
广东卫视,http://218.29.55.44:808/hls/30/index.m3u8
山东卫视,http://218.29.55.44:808/hls/32/index.m3u8
安徽卫视,http://218.29.55.44:808/hls/33/index.m3u8
辽宁卫视,http://218.29.55.44:808/hls/34/index.m3u8
贵州卫视,http://218.29.55.44:808/hls/36/index.m3u8
河北卫视,http://218.29.55.44:808/hls/37/index.m3u8
江西卫视,http://218.29.55.44:808/hls/38/index.m3u8
深圳卫视,http://218.29.55.44:808/hls/39/index.m3u8
四川卫视,http://218.29.55.44:808/hls/40/index.m3u8
湖北卫视,http://218.29.55.44:808/hls/41/index.m3u8
天津卫视,http://218.29.55.44:808/hls/42/index.m3u8
云南卫视,http://218.29.55.44:808/hls/43/index.m3u8
重庆卫视,http://218.29.55.44:808/hls/44/index.m3u8
吉林卫视,http://218.29.55.44:808/hls/45/index.m3u8
东南卫视,http://218.29.55.44:808/hls/49/index.m3u8
陕西卫视,http://218.29.55.44:808/hls/35/index.m3u8
宁夏卫视,http://218.29.55.44:808/hls/46/index.m3u8
广西卫视,http://218.29.55.44:808/hls/47/index.m3u8
甘肃卫视,http://218.29.55.44:808/hls/48/index.m3u8
山西卫视,http://218.29.55.44:808/hls/51/index.m3u8
青海卫视,http://218.29.55.44:808/hls/52/index.m3u8

厦门卫视,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/xmws/1300000/mnf.m3u8
三沙卫视,http://stream3.hnntv.cn/ssws/playlist.m3u8?_upt=02d003981670428300
东方卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226261/index.m3u8?
海南卫视,http://60.213.134.68/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000291502.m3u8
南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=58347f72aece2c25c685b8dc4da74652&txTime=95A66658
西藏卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
延边综合,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
