//直播源来源地址(已校)https://cdn.jsdelivr.net/gh/zbefine/iptv/iptv.txt

🇨🇳央视,#genre#

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8

CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8

CCTV-2HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8

CCTV-2HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8

CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8

CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8

CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8

CCTV-3HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8

CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8

CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8

CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8

CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8

CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8

CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8

CCTV-5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8

CCTV-6HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8

CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8

CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8

CCTV-7HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8

CCTV-8HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8

CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8

CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8

CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8

CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8

CCTV-11HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8

CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8

CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8

CCTV-13HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8

CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8

CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8

CCTV-15HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8

CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8

CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8

CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8

CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8

中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

CGTN,https://live.cgtn.com/1000/prog_index.m3u8

CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225747/index.m3u8

CGTN纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8

中国教育4,http://39.135.138.58:18890/PLTV/88888888/224/3221225937/index.m3u8

新华中文,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8

新华中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8

新华英语,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8

新华英语,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8

📡卫视,#genre#
湖南卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8

湖南卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225745/index.m3u8

江苏卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225702/index.m3u8

江苏卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225743/index.m3u8

浙江卫视HD,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

浙江卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225703/index.m3u8

浙江卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225744/index.m3u8

浙江卫视HD,http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8

东方卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225658/index.m3u8

东方卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225659/index.m3u8

广东卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225701/index.m3u8

广东卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225742/index.m3u8

深圳卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8

深圳卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225741/index.m3u8

北京卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8

北京卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225674/index.m3u8

天津卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8

天津卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/index.m3u8

山东卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225697/index.m3u8

山东卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225738/index.m3u8

湖北卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225699/index.m3u8

湖北卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225740/index.m3u8

黑龙江卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225690/index.m3u8

黑龙江卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225736/index.m3u8

安徽卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225691/index.m3u8

安徽卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225737/index.m3u8

东南卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/index.m3u8

江西卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225705/index.m3u8

江西卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225746/index.m3u8

重庆卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225692/index.m3u8

重庆卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225734/index.m3u8

广西卫视HD,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221226211/2/index.m3u8?fmt=ts2hls

河南卫视HD,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8

吉林卫视HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225680/index.m3u8

南方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226203/index.m3u8

山西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225730/index.m3u8

青海卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225727/index.m3u8

西藏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225723/index.m3u8

内蒙古卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225667/index.m3u8

宁夏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225726/index.m3u8

新疆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225725/index.m3u8

兵团卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226200/index.m3u8

延边卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226201/index.m3u8

延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8

延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8

康巴卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226207/index.m3u8

安徽导视,http://agsj.appcoo.com:8000/agsj/test/index.m3u8

池州新闻综合,http://cm.wshls.homecdn.com/live/4abdd.flv

宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8

宿州公共频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8

宿州科教频道,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8

亳州新闻频道,http://zbbf2.ahbztv.com/live/416.m3u8

亳州农村频道,http://zbbf2.ahbztv.com/live/418.m3u8

黄山新闻综合,http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8

黄山公共生活,http://hslive.hsnewsnet.com/lsdream/iY92ady/1000/live.m3u8

芜湖新闻综合,http://live1.wuhubtv.com/channel1/sd/live.m3u8

芜湖生活频道,http://live1.wuhubtv.com/channel2/sd/live.m3u8

