🗼港澳台,#genre#
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd

东森电影台,http://120.84.96.43:808/hls/32/index.m3u8

东森洋片台,http://120.84.96.43:808/hls/33/index.m3u8

澳门莲花,http://nettvpro.live/hls/lotustv.php

澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8

澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd

澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd

澳视澳门,http://61.244.22.4/ch1/ch1.live/master.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8?zgangd

凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8

凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8

CNC中文台,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8

CNC中文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8

CNC英文台,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8

CNC英文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8

凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8

凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8

凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8?zgangd

凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd

凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8?zgangd

凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd

凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8?zgangd

点掌+财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd

耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd

澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8

澳视葡文,http://61.244.22.4/ch2/ch2.live/chunklist_w1632175875.m3u8?zgangd

创世电视,https://cdn.deepcore.online/hlsme/ctv_hk_1080.m3u8?zgangd

创世电视,https://cdn.deepcore.online/hlsme/ctv_hk.m3u8?zgangd


🎡台湾,#genre#
天映經典[960*540],http://50.7.220.74:8278/Celestial2/playlist.m3u8?tid=m6ef86c74cc921039065&ct=17916&tsum=d3a0eedfcfc050a71e7c99ea52c0da04

東森電影[1920*1080],http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313

龍祥電影[1280*720],http://50.7.220.74:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5

龍華洋片[1280*720],http://50.7.220.74:8278/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db

龍華戲劇[1280*720],http://50.7.220.74:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb

中國電影[1280*720],http://50.7.220.74:8278/chcfamily/playlist.m3u8?tid=ME7E3282776332827763&ct=18393&tsum=c098f25f9c140478d2a814b22a7ccbd3

中視經典[1280*720],http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=mffe9aaf8765f&ct=18335&tsum=bcdd7a2ce4a5498b1449cb26a01150c0

愛爾達影劇[1280*720],http://50.7.220.74:8278/eltadrama_twn/playlist.m3u8?tid=mea60e416943110603068&ct=17874&tsum=ede38d2a218a34b5397af9d19e0c39a3

CTN,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8

CTN,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8

民視[1280*720],http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=m15b424641a89&ct=18335&tsum=ba82cdbfb8253c45a13df5354e6d0dbc

公視[1280*720],http://50.7.220.74:8278/ctv_taiwan/playlist.m3u8?tid=m33b41eb996d0&ct=18336&tsum=ea5304d5140e9a3d2a32aece896feeed

WWE[1280*720],http://50.7.220.74:8278/wwe_twn/playlist.m3u8?tid=MACA9233903292339032&ct=18393&tsum=e4cbbd3b73f34348c4a58d7dc6fbd7dc

CN卡通[1920*1080],http://50.7.220.74:8278/momo1_twn/playlist.m3u8?tid=md272f875bb6916787346&ct=17874&tsum=0c38bae20c6db7e76ad1418654c8ccd4

東森幼幼[1920*1080],http://50.7.220.74:8278/yoyo_twn/playlist.m3u8?tid=m84c9b210bc7f11269156&ct=17874&tsum=51340c8fb7ca02ab978ee0791843501d

